intent;text;lang
human_help;mi situacion es unica y nesesita atencion humana;es
human_help;creo ay un herror grabe ablamo;es
human_help;estoy kansado d rrepetir ponme con algien;es
human_help;no encuentro la info puede un humano ayudarme;es
human_help;nesesito asistenia personalizada;es
human_help;esto es inaceptable kiero ablar con algien d inmediato;es
human_help;los boy a demandar si no m atienden;es
human_help;Necesito hablar con un asesor.;es
human_help;¿Me pasas con un ejecutivo, porfa?;es
human_help;Esto es grave, quiero hablar con alguien ya.;es
human_help;No me ayuda el robot, necesito una persona.;es
human_help;¿Hay cómo hablar con gente de verdad?;es
human_help;Ustedes son unos estafadores, quiero mi plata de vuelta.;es
human_help;No entiendo, ¿me puedes poner con un operador?;es
human_help;¿Me comunico con un humano, por favor?;es
human_help;Mi pedido no llega, esto es una porquería, quiero hablar con alguien.;es
human_help;Los voy a denunciar, esto es inaceptable.;es
human_help;No me sirve tu respuesta, necesito ayuda de verdad.;es
human_help;¿Con quién puedo hablar sobre un problema grave?;es
human_help;Me siento engañado, exijo un supervisor.;es
human_help;¿Tienes algún número para llamar a servicio al cliente?;es
human_help;Quiero hablar con un encargado.;es
human_help;Mi caso es especial, el bot no lo maneja.;es
human_help;Esto es ridículo, quiero hablar con una persona ya.;es
human_help;No sé qué hacer, necesito a alguien que sepa.;es
human_help;¿Puedes pasarme con atención al cliente?;es
human_help;Estoy harto, quiero hablar con un humano de una vez.;es
human_help;Necesito hablar con un operador, por favor.;es
human_help;¿Me puedes pasar con un comercial?;es
human_help;Esto es un rollo, quiero hablar con una persona.;es
human_help;Pásame con alguien que entienda de esto.;es
human_help;No me aclaro, necesito un humano.;es
human_help;Esto es una chapuza, quiero mi dinero.;es
human_help;Estoy cabreado, ponme con un superior.;es
human_help;¿Hay alguien ahí que no sea un robot?;es
human_help;No me líes, por favor, que me atienda alguien.;es
human_help;Me siento estafado, esto es un cachondeo.;es
human_help;Necesito una solución ya, que me llamen.;es
human_help;Este bot no me ayuda para nada.;es
human_help;Es un tema muy delicado, no es para el chat.;es
human_help;Quiero poner una reclamación.;es
human_help;No me entiendo con la máquina.;es
human_help;Necesito ayuda personalizada, esto es serio.;es
human_help;Vaya tela, quiero hablar con alguien.;es
human_help;Mi problema es un pifostio, no lo arregla el chat.;es
human_help;Me estoy hartando, ¿hay alguien?;es
human_help;Que me llame un responsable.;es
other;Cuéntame un chiste.;es
other;¿Cómo estás?;es
other;No entiendo lo que dices.;es
other;Eres muy útil.;es
other;¿Qué día es hoy?;es
other;kuentame un chiste;es
other;como estas tu;es
other;no entiendo;es
other;eres mui util;es
other;q dia es oi;es
greetings;K onda?;es
other;Toy bien y tu?;es
other;No c.;es
other;Eres chido.;es
other;¿Q día es hoy?;es
other;Puedes hacer otra cosa?;es
other;No entendi nadita.;es
other;Eso es todo?;es
other;Jaja, buena.;es
other;Dame un dato aleatorio.;es
other;Me aburro.;es
other;Háblame de algo.;es
other;Eres un bot?;es
other;Cómo funcionas?;es
other;Puedes ayudarme en algo mas?;es
other;No se q preguntar.;es
animal_funfact;Cuentame algo gracioso.;es
other;Que hora es?;es
other;Estoy probando.;es
other;Gracias por el chat.;es
other;¡Anda! ¿Qué me cuentas?;es
other;Estoy bien, ¿y tú, máquina?;es
other;Ni idea.;es
other;Eres la caña.;es
other;¿Qué día es hoy, chaval?;es
other;No me seas así.;es
other;No te entiendo ni papa.;es
other;¿Ya está?;es
other;Jajaja, ¡qué bueno!;es
other;Dime algo al azar.;es
other;Me aburro un montón.;es
animal_funfact;Háblame de algo que mole.;es
other;¿Eres un robot?;es
other;¿Cómo funcionas, colega?;es
other;¿Algo más en lo que puedas ayudarme?;es
other;No sé qué preguntar, la verdad.;es
other;Cuéntame un cotilleo.;es
other;¿Qué hora es, por cierto?;es
other;Estoy haciendo pruebas.;es
other;Gracias por la charla.;es
question_delivery;¿Hacen envíos a México?;es
question_delivery;¿Cuánto tarda el envío a Madrid?;es
question_delivery;¿Cuál es el costo de envío a Argentina?;es
question_delivery;¿Cómo puedo rastrear mi pedido?;es
question_delivery;Mi pedido no ha llegado, ¿qué hago?;es
question_delivery;¿Es posible un envío exprés?;es
question_delivery;¿Se hacen entregas en días festivos?;es
question_delivery;¿Qué paquetería usan para los envíos internacionales?;es
question_delivery;¿Por qué mi envío está demorado?;es
question_delivery;¿Hay algún costo adicional por aduanas?;es
question_delivery;envian a mexio;es
question_delivery;kuanto tarda a madrid;es
question_delivery;presio de envio a arjentiina;es
question_delivery;como rrastreo mi pedido;es
question_delivery;mi pedido no llega q ago;es
question_delivery;enbio expres posible;es
question_delivery;entregan dias festivos;es
question_delivery;q paqueteria usan internacional;es
question_delivery;x q mi embio esta demorado;es
question_delivery;ai costo adiccional aduana;es
question_delivery;¿Hacen envíos para Colombia?;es
question_delivery;¿Cuánto demora el envío a Chile?;es
question_delivery;¿Cuál es el costo de envío a Perú?;es
question_delivery;¿Cómo puedo rastrear mi envío?;es
question_delivery;Mi pedido no ha llegado, ¿qué onda?;es
question_delivery;¿Es posible un envío exprés a Argentina?;es
question_delivery;¿Entregan en Bolivia los fines de semana?;es
question_delivery;¿Qué paquetería usan para los envíos internacionales a Ecuador?;es
question_delivery;¿Por qué mi remesa está demorada?;es
question_delivery;¿Hay algún cargo extra por aduanas en Uruguay?;es
question_delivery;¿Hacen envío a todo el país?;es
question_delivery;¿Cuánto tarda en llegar a mi casa?;es
question_delivery;¿Cuál es el precio de envío a mi localidad?;es
question_delivery;¿Cómo hago para seguir mi pedido?;es
question_delivery;Mi paquete no llega, ¿qué hago?;es
question_delivery;¿Se puede hacer envío express?;es
question_delivery;¿Entregan los sábados?;es
question_delivery;¿Qué mensajería usan para entregas?;es
question_delivery;¿Por qué mi paquete está demorado?;es
question_delivery;¿Hay cargos de aduana?;es
question_delivery;¿El envío es gratis?;es
question_delivery;¿Cuándo despachan mi orden?;es
question_delivery;¿Puedo pasar a retirar mi compra?;es
question_delivery;¿Qué pasa si no estoy para recibir?;es
question_delivery;¿El costo de envío varía por peso?;es
question_delivery;¿Hacen entregas a las provincias?;es
question_delivery;¿Se puede cambiar la dirección de envío?;es
question_delivery;¿Mi pedido salió ya?;es
question_delivery;¿A qué hora llegan los envíos?;es
question_delivery;¿Necesito firmar para recibir?;es
question_delivery;¿Hacen envíos a Canarias?;es
question_delivery;¿Cuánto tarda el envío a un pueblo?;es
question_delivery;¿Cuál es el precio de portes para Baleares?;es
question_delivery;¿Cómo sigo mi pedido en Correos?;es
question_delivery;Mi paquete no llega, ¿qué hago ahora?;es
question_delivery;¿Hay envío urgente?;es
question_delivery;¿Entregan en festivos?;es
question_delivery;¿Qué mensajería usáis para los pedidos?;es
question_delivery;¿Por qué mi envío va con retraso?;es
question_delivery;¿Hay algún extra por aduanas en Ceuta?;es
question_delivery;¿El envío es gratis a la Península?;es
question_delivery;¿Cuánto tarda en llegar mi bulto?;es
question_delivery;¿Qué pasa con mi envío?;es
question_delivery;¿El envío a domicilio tiene coste?;es
question_delivery;¿Puedo recoger en tienda?;es
question_delivery;¿Hay coste por contra reembolso?;es
question_delivery;¿Cuándo me llega el paquete?;es
question_delivery;¿Qué transportista usáis?;es
question_delivery;¿Se puede cambiar el punto de recogida?;es
question_delivery;Mi pedido no aparece en el localizador.;es
question_item;¿De qué material es la camiseta del tigre?;es
question_item;¿Tienen la camiseta del búho en talla M?;es
question_item;¿Esta camiseta de león es de algodón orgánico?;es
question_item;¿La camiseta de perro tiene otros colores?;es
question_item;¿Hay existencias de la camiseta de gato negro?;es
question_item;Muéstrame la camiseta de la jirafa.;es
question_item;¿La camiseta del lobo es unisex?;es
question_item;¿Cuáles son las medidas de la camiseta de panda?;es
question_item;¿La camiseta de koala encoge al lavarla?;es
question_item;¿Podrías darme más detalles sobre la camiseta de la ballena?;es
question_item;de q material es la camiseta de tigre;es
question_item;tienen la d buho talla m;es
question_item;la de leon es d algodon organico;es
question_item;la camiseta del perro tiene otros colores;es
question_item;ay la de gato negro;es
question_item;muestrame la del ajirafa;es
question_item;la de lobo es unisex;es
question_item;medidas de la d panda;es
question_item;la de coala encoje;es
question_item;info camiseta ballena;es
question_item;¿De qué tela es la remera del carpincho?;es
question_item;¿Tienes la playera del ajolote en talla chica?;es
question_item;¿Esta franela de lagarto es de algodón orgánico?;es
question_item;¿La polera del pájaro zapato tiene otros colores?;es
question_item;¿Hay stock de la camiseta del capybara?;es
question_item;Muéstrame la camiseta de la garza picozapato.;es
question_item;¿La playera del lobo es unisex?;es
question_item;¿Qué medidas tiene la remera del panda?;es
question_item;¿La polera de koala se encoge al lavar?;es
question_item;¿Podrías darme más info de la franela de la ballena?;es
question_item;¿Hay camisetas de camaleones?;es
question_item;Quiero ver la remera de la tortuga.;es
question_item;¿Esta playera de sapo tiene mi talla?;es
question_item;¿La franela del caimán está disponible?;es
question_item;¿Me muestras la polera del guepardo?;es
question_item;¿Tienen calcetines de animales?;es
question_item;¿Cuánto cuestan las medias con diseño de pato?;es
question_item;¿Qué tallas manejan para las camisetas?;es
question_item;¿La chamarra de oso polar está disponible?;es
question_item;¿Esta camisa de estampado animal es para hombre?;es
question_item;¿Esta chomba de mono es d algodón?;es
question_item;¿Tienen la camiseta del cocodrilo en talla G?;es
question_item;¿La polera del halcón viene en otros colores?;es
question_item;¿Es unisex la remera de la alpaca?;es
question_item;Dame info de la playera del tucán.;es
question_item;¿La franela del jaguar es de buena calidad?;es
question_item;¿Esta camiseta de puma la tienen en xs?;es
question_item;¿Qué medidas son para la polera del armadillo?;es
question_item;¿La remera del delfín encoje?;es
question_item;¿Hay más diseños de camisetas de animales?;es
question_item;¿La playera del cóndor es original?;es
question_item;¿Tienen medias con diseño de pingüino?;es
question_item;¿Cuál es el material de la chamarra de oso?;es
question_item;¿Esta camiseta de águila es para mujer?;es
question_item;¿Hay disponibles poleras de perezosos?;es
question_item;¿Me pasas las fotos de la remera de la cebra?;es
question_item;¿La playera de la abeja está en promoción?;es
question_item;¿Tienen franelas con dibujo de koalas?;es
question_item;¿Las camisetas de loros son de manga larga?;es
question_item;¿Cuánto sale la polera del guepardo?;es
question_item;¿De qué es la camiseta del lince ibérico?;es
question_item;¿La remera del oso pardo, la tienen en talla L?;es
question_item;¿Esta elástica del águila es de algodón?;es
question_item;¿La playera del lobo, tiene otros grabados?;es
question_item;¿Hay stock de la camiseta del camaleón?;es
question_item;Enséñame la camiseta del torito.;es
question_item;¿La camiseta de buitre es de chico o chica?;es
question_item;¿Qué medidas tiene la camiseta del lagarto?;es
question_item;¿La camiseta de cabra montesa destiñe?;es
question_item;¿Puedes darme más info de la camiseta del gallo?;es
question_item;¿Las camisetas de oso tienen alguna variedad?;es
question_item;¿Hay algún jersey de oveja?;es
question_item;¿Esta prenda de jabalí es de temporada?;es
question_item;¿Tenéis calcetines de flamencos?;es
question_item;¿Me enseñas la chaqueta con diseño de águila?;es
question_item;¿Cuánto cuesta la camiseta del perro?;es
question_item;Camiseta de gato, ¿hay más colores?;es
question_item;¿La camiseta del ciervo es de manga corta?;es
question_item;¿Qué tallas tenéis para la camiseta del halcón?;es
question_item;¿Está disponible la camiseta de águila imperial?;es
question_offers;¿Tienen algún descuento ahora mismo?;es
question_offers;¿Hay ofertas en camisetas de animales?;es
question_offers;¿Tienen código de descuento para la primera compra?;es
question_offers;¿Cuándo empiezan las rebajas?;es
question_offers;¿Hay alguna promoción de envío gratis?;es
question_offers;ay deskuentos ahorita;es
question_offers;ofertas en camisetas de animales;es
question_offers;tienen codigo d descuento primera compra;es
question_offers;cuando empiesan las rebajas;es
question_offers;ai promocion envio grartis;es
question_offers;¿Tienen alguna promoción activa?;es
question_offers;¿Hay rebajas en las camisetas?;es
question_offers;¿Tienen cupones de descuento?;es
question_offers;¿Cuándo son las liquidaciones?;es
question_offers;¿Hay alguna oferta de 2x1?;es
question_offers;¿Manejan descuentos por volumen?;es
question_offers;¿Hay alguna promo por temporada?;es
question_offers;¿Cuál es el descuento máximo?;es
question_offers;¿Tienen algún código promocional?;es
question_offers;¿Las ofertas son solo online?;es
question_offers;¿Hay ofertas en las remeras?;es
question_offers;¿Cuándo terminan las promociones?;es
question_offers;¿Tienen descuento para clientes nuevos?;es
question_offers;¿Hay combos de oferta?;es
question_offers;¿Qué descuentos tienen para el Día del Animal?;es
question_offers;¿Los descuentos aplican a todo?;es
question_offers;¿Se pueden acumular ofertas?;es
question_offers;¿Hay descuentos por pago en efectivo?;es
question_offers;¿Tienen un programa de puntos?;es
question_offers;¿Cuáles son las promos vigentes?;es
question_offers;¿Tenéis alguna oferta ahora mismo?;es
question_offers;¿Hay rebajas en las camisetas de animales?;es
question_offers;¿Tenéis algún código de descuento para nuevos clientes?;es
question_offers;¿Cuándo empiezan las rebajas de verano?;es
question_offers;¿Hay alguna promo de envío gratis?;es
question_offers;¿Tenéis descuentos para estudiantes?;es
question_offers;¿Hay alguna oferta por la campaña de Navidad?;es
question_offers;¿Cuál es el descuento máximo que tenéis?;es
question_offers;¿Hay algún cupón que pueda usar?;es
question_offers;¿Las ofertas son solo para la web?;es
question_offers;¿Hay promociones en las camisetas del lince?;es
question_offers;¿Hasta cuándo duran las ofertas?;es
question_offers;¿Tenéis algún descuento por comprar varias camisetas?;es
question_offers;¿Hay promos por el Black Friday?;es
question_offers;¿Qué descuentos tenéis para clientes habituales?;es
question_offers;¿Los descuentos se aplican automáticamente?;es
question_offers;¿Se pueden usar varios descuentos a la vez?;es
question_offers;¿Hay ofertas por ser familia numerosa?;es
question_offers;¿Tenéis descuentos en la sección de novedades?;es
question_offers;¿Cuáles son vuestras ofertas más destacadas?;es
question_prices;¿Cuánto cuesta la camiseta del elefante?;es
question_prices;¿Cuál es el precio de la camiseta de cebra?;es
question_prices;¿Las camisetas tienen el mismo precio?;es
question_prices;¿Hay algún precio especial por comprar varias?;es
question_prices;¿El precio incluye el IVA?;es
question_prices;cuanto cuesta la de elefante;es
question_prices;precio d la de cebra;es
question_prices;camisetas mismo precio;es
question_prices;precio especial x varias;es
question_prices;el precio inlcluye iva;es
question_prices;¿Cuánto vale la remera del elefante?;es
question_prices;¿Cuál es el costo de la playera de cebra?;es
question_prices;¿Todas las camisetas tienen el mismo precio?;es
question_prices;¿Hay algún descuento por comprar varias?;es
question_prices;¿El precio ya tiene el IVA incluido?;es
question_prices;¿Qué precio tiene la polera de la jirafa?;es
question_prices;¿Hay ofertas en los precios?;es
question_prices;¿Cuál es el precio final con envío?;es
question_prices;¿Las medias cuánto salen?;es
question_prices;¿Puedo pagar en cuotas?;es
question_prices;¿Me dices el precio de la camiseta del lobo?;es
question_prices;¿Las chamarra de animal, cuánto cuesta?;es
question_prices;¿Este precio es el de ahora?;es
question_prices;¿Hay un límite de compra para aplicar descuentos?;es
question_prices;¿Son precios fijos?;es
question_prices;¿Podría ver la lista de precios?;es
question_prices;¿Hay alguna promo por el precio?;es
question_prices;¿Tienen precios por mayor?;es
question_prices;¿El precio incluye los impuestos?;es
question_prices;¿Me puedes dar un presupuesto?;es
question_prices;¿Cuánto vale la camiseta del lobo?;es
question_prices;¿Cuál es el precio de la camiseta del toro?;es
question_prices;¿Todas las camisetas tienen el mismo precio?;es
question_prices;¿Hay algún precio especial si compro varias?;es
question_prices;¿El precio incluye el IVA?;es
question_prices;¿Qué vale la camiseta del oso?;es
question_prices;¿Hay ofertas en los precios?;es
question_prices;¿Cuál es el precio total con el envío?;es
question_prices;¿Cuánto salen las medias?;es
question_prices;¿Se puede pagar a plazos?;es
question_prices;Dime el precio de la camiseta del lince.;es
question_prices;La chaqueta de animal, ¿qué precio tiene?;es
question_prices;¿Este precio es el definitivo?;es
question_prices;¿Hay un mínimo de compra para descuentos?;es
question_prices;¿Son precios cerrados?;es
question_prices;¿Me puedes dar un listado de precios?;es
question_prices;¿Hay alguna promoción en el precio?;es
question_prices;¿Tenéis precios para tiendas?;es
question_prices;¿El precio ya tiene los impuestos?;es
question_prices;¿Puedes darme un presupuesto de varias camisetas?;es
question_store;¿Cuáles son sus horarios de atención?;es
question_store;¿Dónde están ubicados?;es
question_store;¿Cuál es su política de devoluciones?;es
question_store;¿Aceptan pagos con tarjeta de crédito?;es
question_store;¿Tienen una tienda física?;es
question_store;¿Cómo puedo contactar con atención al cliente?;es
question_store;¿Es esta tienda legítima?;es
question_store;¿Cuánto tiempo llevan operando?;es
question_store;¿Dónde puedo encontrar su política de privacidad?;es
question_store;¿Ofrecen tarjetas de regalo?;es
question_store;sus horarios d atencion;es
question_store;donde estan;es
question_store;politica de boluciones;es
question_store;asptan tarjeta;es
question_store;tienen tienda fisica;es
question_store;como contacto atencion cliente;es
question_store;es legal esta tienda;es
question_store;cuanto tiempo lleban;es
question_store;donde ay politica de privacidad;es
question_store;ofrecen tarjetas regalo;es
question_store;¿Cuáles son sus horarios?;es
question_store;¿Dónde queda su tienda?;es
question_store;¿Cómo es su política de cambios?;es
question_store;¿Aceptan pago fácil?;es
question_store;¿Tienen un local físico?;es
question_store;¿Cómo hablo con soporte?;es
question_store;¿Esta página es segura?;es
question_store;¿Desde cuándo operan?;es
question_store;¿Dónde veo su aviso de privacidad?;es
question_store;¿Venden vales de regalo?;es
question_store;¿Qué métodos de pago aceptan?;es
question_store;¿Hay garantía en las prendas?;es
question_store;¿Tienen descuento para estudiantes?;es
question_store;¿Es una empresa confiable?;es
question_store;¿Puedo devolver un artículo?;es
question_store;¿Tienen ofertas frecuentes?;es
question_store;¿Cómo hago una consulta general?;es
question_store;¿Sus productos son de calidad?;es
question_store;¿Dónde puedo ver las opiniones de otros clientes?;es
question_store;¿Hay alguna sucursal cerca de mí?;es
question_store;¿Cuál es vuestro horario de la tienda?;es
question_store;¿Dónde está vuestro establecimiento?;es
question_store;¿Cómo va el tema de las devoluciones?;es
question_store;¿Aceptáis Bizum?;es
question_store;¿Tenéis tienda física en algún sitio?;es
question_store;¿Cómo contacto con el servicio de atención al cliente?;es
question_store;¿Es esta una tienda fiable?;es
question_store;¿Desde cuándo estáis abiertos?;es
question_store;¿Dónde está vuestra política de privacidad?;es
question_store;¿Vendéis tarjetas regalo?;es
question_store;¿Cuáles son vuestros medios de pago?;es
question_store;¿Tenéis garantía de los productos?;es
question_store;¿Hay algún descuento por ser familia numerosa?;es
question_store;¿La web es segura para comprar?;es
question_store;¿Se pueden hacer cambios de talla?;es
question_store;¿Cuáles son vuestras redes sociales?;es
question_store;¿Tenéis un teléfono de contacto?;es
